a: à,a.
aantrappen: aantrapte,aantrapten,aantrapt,aantrap,aangetrapt
aantreden: aantraden,aantreedt,aantrad,aangetreden
aantreding: aantredingen
aantreffen: aantreft,aantrof,aantref,aantroffen,aangetroffen
aantrekkelijk: aantrekkelijker,aantrekkelijkst,aantrekkelijke,aantrekkelijkere,aantrekkelijkste
aantrekkelijkheid: aantrekkelijkheden
aantrekken: aantrok,aantrekt,aantrek,aangetrokken,aantrokken
aantrekker: aantrekkers
aantrekking: aantrekkingen
aantrekkingskracht: aantrekkingskrachten
aanvaardbaar: aanvaardbare
aanvaardbaarheid: aanvaardbaarheden
aanvaarden: aanvaardden,aanvaard,geaanvaard,aanvaardde,aanvaardt
aanvaarding: aanvaardingen
aanval: aanvallen
aanvallen: aanviel,aanvielen,aanval,aanvalt,aangevallen
aanvallend: aanvallende
aanvaller: aanvallers
aanvallig: aanvallige
aanvalslinie: aanvalslinies
aanvalsoorlog: aanvalsoorlogen
aanvalster: aanvalsters
aanvang: aanvangen
aanvangen: aanvingen,aanvang,aanvangt,aanving,aangevangen
aanvangspunt: aanvangspunten
aanvangssalaris: aanvangssalarissen
aanvankelijk: aanvankelijke
aanvaren: aanvoeren,aanvaar,aanvoer,aanvaart,aangevaren
aanvaring: aanvaringen
aanvatten: aanvatte,aanvat,aangevat
aanvatter: aanvatters
aanvatting: aanvattingen
aanvechtbaar: aanvechtbare
aanvechten: aanvochten,aangevochten,aanvecht,aanvocht
aanvechting: aanvechtingen
aanvegen: aanveegden,aangeveegd,aanveegde,aanveegt,aanveeg
aanverwant: aanverwanten,aanverwante
aanvliegen: aanvliegt,aangevlogen,aanvlogen,aanvloog,aanvlieg
aanvliegroute: aanvliegroutes
aanvoegend: aanvoegende
aanvoelen: aanvoelden,aangevoeld,aanvoelt,aanvoelde,aanvoel
aanvoerder: aanvoerders
aanvoeren: aanvoert,aanvoerde,aanvoerden,aangevoerd,aanvoer
aanvoerhaven: aanvoerhavens
aanvoerster: aanvoersters
aanvraag: aanvragen
aanvraagformulier: aanvraagformulieren
aanvraagster: aanvraagsters
aanvrage: aanvragen
aanvragen: aanvraag,aanvroegen,aanvroeg,aanvraagt,aangevraagd
aanvrager: aanvragers
aanvreten: aanvreet,aanvrat,aangevreten,aanvraten
aanvreter: aanvreters
aanvullen: aanvult,aangevuld,aanvulden,aanvulde,aanvul
aanvullend: aanvullende
aanvuller: aanvullers
aanvulling: aanvullingen
aanvuren: aanvuurden,aanvuur,aanvuurde,aanvuurt,aangevuurd,aanaanvuurde
aanvuring: aanvuringen
aanwaaien: aanwaai,aangewaaid,aanwaait,aanwaaiden,aanwaaide
aanwakkeren: aanwakker,aanwakkerden,aanwakkerde,aangewakkerd,aanwakkert
aanwakkering: aanwakkeringen
aanwas: aanwassen
aanwassen: aanwaste,aanwas,aangewassen,aanwast,aanwasten
aanwenden: aanwendde,aanwendt,aanwendden,aangewend,aanwend
aanwending: aanwendingen
aanwennen: aanwent,aanwen,aanwenden,aanwende,aangewend
aanwensel: aanwensels
aanwerven: aanwierf,aanwerf,aanwerft,aangeworven,aanwierven
aanwerver: aanwervers
aanwezig: aanwezige
aanwezigheid: aanwezigheden
aanwijsbaar: aanwijsbare
aanwijzen: aangewezen,aanwijs,aanwijst,aanwezen,aanwees
